Recovered,Deaths,Active
0.0004345464421510049,0.0037677304964539005,0.007880236209586633
0.0004345464421510049,0.0037677304964539005,0.007880236209586633
0.00048110498952432684,0.005319148936170213,0.009756482926154879
0.0004966245053154341,0.008865248226950355,0.013607726186479173
0.0006518196632265073,0.01152482269503546,0.019038966681808305
0.0006983782105998293,0.016843971631205674,0.02571445499970375
0.0012415612632885853,0.027703900709219857,0.06614263425039006
0.001365717389617444,0.027703900709219857,0.06598463452688957
0.0013967564211996586,0.03590425531914894,0.09185708925009381
0.002188251726546132,0.04521276595744681,0.10785456125451781
0.0026072786529060294,0.05518617021276596,0.13303576718740742
0.004578257158376659,0.0775709219858156,0.20800663598838703
0.005990533095367424,0.09175531914893617,0.25125906029664447
0.00810118724295802,0.1061613475177305,0.3096202081646357
0.009823853495770932,0.12167553191489362,0.3650386111824304
0.012679444401334679,0.13696808510638298,0.40837003535243815
0.01730426010708466,0.15492021276595744,0.456994450259712
0.02233258322340343,0.17287234042553193,0.4913988900519424
0.027857530845037635,0.19304078014184398,0.5325578180238184
0.03448436408784046,0.21586879432624115,0.5635060138644757
0.04095600217273221,0.23670212765957446,0.5857642249126064
0.04168541941491426,0.23670212765957446,0.5848359765370411
0.05368200512144021,0.2903368794326241,0.8578792487113147
0.07409016838674633,0.3229166666666667,0.9514545849544763
0.08726623729339644,0.3537234042553192,0.9683408054035906
0.10303406533716149,0.375886524822695,0.9844765271660775
0.12201443314968573,0.39649822695035464,0.9941737601959196
0.1416621401412276,0.4257535460992908,1.0
0.16042523473267634,0.44968971631205673,0.9808820334564414
0.18294405214557305,0.475177304964539,0.9580708233760591
0.18438736711414605,0.475177304964539,0.9605790689866293
0.23743307208815084,0.5199468085106383,0.9171686449548714
0.23811593078295956,0.5199468085106383,0.9162996464756187
0.25992085046946534,0.5529698581560284,0.8896174431694744
0.29442073407309693,0.568040780141844,0.8542255051053661
0.32542872662372935,0.5795656028368794,0.8216578120988288
0.3628928377434624,0.5853280141843972,0.7815456322951435
0.4097617754326065,0.5944148936170213,0.7273714770999151
0.44995732133157446,0.6043882978723404,0.6836845535520313
0.48942344998836035,0.6119237588652482,0.6440463729188474
0.5266392488554357,0.6212322695035462,0.5997274504769616
0.5619306277644137,0.6283244680851063,0.5564355262378291
0.5983859703577248,0.6363031914893617,0.5116031046945668
0.6299681849926282,0.6431737588652482,0.47344617146919993
0.6523318072476139,0.6496010638297872,0.4469022179211186
0.6750989369131684,0.6558067375886525,0.4188375170343452
0.7020252968107396,0.661790780141844,0.3848478265163036
0.721471250096997,0.6666666666666666,0.3603776193391662
0.7409482424148367,0.6702127659574468,0.3356111626804653
0.7625358888802669,0.6750886524822695,0.30796121106788066
0.780910995576938,0.6773049645390071,0.2845377520589339
0.8000775975789556,0.6786347517730497,0.2601267947781091
0.8219135562970435,0.6815159574468085,0.2321608437185235
0.8425234732676341,0.6837322695035462,0.2058143898248178
0.8557771397532397,0.6868351063829787,0.18875041968676554
0.869139442849383,0.6894946808510638,0.17152844982521281
0.8834794754403663,0.6919326241134752,0.15308198210653132
0.8951967098626523,0.6937056737588653,0.13801275847767266
0.9060603709164274,0.6943705673758865,0.12412853277506765
0.914813377822612,0.6957003546099291,0.11287105247565817
0.9223713820128812,0.6988031914893617,0.10297631979144037
0.929293086055715,0.6988031914893617,0.0941678352062884
0.9361992705827579,0.700354609929078,0.08526060079394861
0.9437572747730271,0.7010195035460993,0.07558311772954397
0.9498098859315589,0.7023492907801419,0.06776213141627002
0.9580507488166369,0.7034574468085106,0.0571761499417376
0.9637308915961822,0.7041223404255319,0.04988841269527778
0.9710561030495849,0.7052304964539007,0.04046767918156143
0.9760068285869481,0.7061170212765957,0.0340884403452294
0.9801039807558004,0.7063386524822695,0.02885469950427587
0.9827888569876619,0.7076684397163121,0.025339205656390102
0.9850391867773726,0.7089982269503546,0.02235696087531847
0.9872274385039187,0.7098847517730497,0.0194932158868722
0.9895553658725847,0.7107712765957447,0.016471471174925444
0.9923954372623575,0.711436170212766,0.012797977603539195
0.9934662838519438,0.7118794326241135,0.0113957300574724
0.9943819352836192,0.7118794326241135,0.010230482096656331
0.9954527818732055,0.7121010638297872,0.008847984516027097
0.9961511600838053,0.7125443262411347,0.007919736140461753
0.9969116163575696,0.7127659574468085,0.00693223786858373
0.9973461627997207,0.7134308510638298,0.006319988940019355
0.9976099945681695,0.7134308510638298,0.005984239527580827
0.9984946069682626,0.7138741134751773,0.004818991566764758
0.9988825948630403,0.7138741134751773,0.004325242430825746
0.9994878559788934,0.714095744680851,0.0035352438133233266
1.0,0.714095744680851,0.0028834949538838308
0.9852874990300302,1.0,0.0025477455414453024
0.985396135640568,1.0,0.002409495783382379
0.9855978893458525,1.0,0.002152746232694093
0.9856599674090168,1.0,0.0020737463709438507
0.9857065259563902,1.0,0.0020144964746311696
0.9857841235353457,1.0,0.001915746647443367
0.9865600993249011,1.0,0.0009282483755653427
0.9869325677038876,1.0,0.00045424920506389115
0.9871032823775898,1.0,0.0002369995852507258
0.9872895165670831,1.0,0.0
0.9872895165670831,1.0,0.0
0.9872895165670831,1.0,0.0
0.9872895165670831,1.0,0.0
0.9872895165670831,1.0,0.0
